Plik,Etykieta,Odczytany tekst,Zgadza się?,OCR trafność
110.jpg,SLU7XA8,SLU7XA8,TAK,0.88
111.jpg,KR5CV17,KR5CVIZ,TAK,0.88
112.jpg,SH9337C,brak OCR,NIE,0.00
113.jpg,SBL63894,SBL63894,TAK,1.00
114.jpg,SBE48JU,SBE48J0,TAK,0.88
115.jpg,CRY4R84,brak OCR,NIE,0.00
116.jpg,SO0773X,brak OCR,NIE,0.00
117.jpg,SK8843W,SK8843W,TAK,0.88
118.jpg,SK5682A,brak OCR,NIE,0.00
119.jpg,SO6321W,brak OCR,NIE,0.00
120.jpg,SM79962,SM79962,TAK,0.88
121.jpg,SK179VE,EK179VE,TAK,0.88
122.jpg,KTTRJ07,KTTRJO7,TAK,0.88
123.jpg,SK1067S,SK1067S,TAK,0.88
124.jpg,SW55815,6H55815,NIE,0.88
125.jpg,SBE1515G,6BE15150,NIE,1.00
126.jpg,SJ7749E,S7749E,TAK,0.75
127.jpg,STA5468C,5TA5468C,TAK,1.00
128.jpg,SL94455,brak OCR,NIE,0.00
129.jpg,SBE3218G,SBE32180,TAK,1.00
130.jpg,SK807WM,K807WM,TAK,0.75
131.jpg,SL98181,S59818,NIE,0.75
132.jpg,SMY01258,5MY01258,TAK,1.00
133.jpg,SW60961,brak OCR,NIE,0.00
134.jpg,ST2105K,5T2105K,TAK,0.88
135.jpg,SG0580W,5G058OR,TAK,0.88
136.jpg,SZ95471,brak OCR,NIE,0.00
137.jpg,ST6666U,6T6666U,TAK,0.88
138.jpg,SZO99CK,SZ099CK,TAK,0.88
139.jpg,SMI36115,5M136115,TAK,1.00
140.jpg,SH7788A,6H7788A,TAK,0.88
141.jpg,S7JM7,brak OCR,NIE,0.00
142.jpg,ST5630V,615630V,NIE,0.88
143.jpg,SO0665L,brak OCR,NIE,0.00
144.jpg,STA1392C,STA13927,TAK,1.00
145.jpg,SO7183K,S07183K,TAK,0.88
146.jpg,SK289PU,SK289PU,TAK,0.88
147.jpg,SK145YT,SK145YT,TAK,0.88
148.jpg,SO68659,brak OCR,NIE,0.00
149.jpg,ST8055V,ST8055V,TAK,0.88
150.jpg,SPI19846,brak OCR,NIE,0.00
151.jpg,SG287AT,6G28747,NIE,0.88
152.jpg,STA7109C,STA71097,TAK,1.00
153.jpg,SJ7912C,5J7912C,TAK,0.88
154.jpg,SG2947W,562947W,TAK,0.88
155.jpg,SG526CF,SG526CF,TAK,0.88
156.jpg,SK8056K,SK8056K,TAK,0.88
157.jpg,SB983FF,SB983FF,TAK,0.88
158.jpg,SH9435C,SH94357,TAK,0.88
159.jpg,SK743MW,SK743MR,TAK,0.88
160.jpg,SC3222P,SC3222P,TAK,0.88
161.jpg,WBR6P58,BBR6P58,TAK,0.88
162.jpg,SBE46085,SBE46085,TAK,1.00
163.jpg,SK988PP,SK988PP,TAK,0.88
164.jpg,SI64042,brak OCR,NIE,0.00
165.jpg,SMI29210,5M129210,TAK,1.00
166.jpg,SL7185E,LZ18SE,NIE,0.75
167.jpg,KOS4V97,KOS4V97,TAK,0.88
168.jpg,SG9892X,5G9892X,TAK,0.88
169.jpg,STAGA81,674C8N,NIE,0.75
170.jpg,SMI39019,5M139019,TAK,1.00
171.jpg,SCI2827J,5C12827,TAK,0.88
172.jpg,SZA7964E,5Z47964E,TAK,1.00
173.jpg,SK959YF,SK9591F,TAK,0.88
174.jpg,SL1426H,6L1426H,TAK,0.88
175.jpg,SK440AY,SK440AY,TAK,0.88
176.jpg,ST7736G,S17730,NIE,0.75
177.jpg,SR1279L,brak OCR,NIE,0.00
178.jpg,SR7916L,SR7916L,TAK,0.88
179.jpg,SM78958,5M78958,TAK,0.88
180.jpg,SJ4104C,64104C,NIE,0.75
181.jpg,STA5950A,brak OCR,NIE,0.00
182.jpg,STA2L80,STA2L80,TAK,0.88
183.jpg,SGLWF71,SGLWF7T,TAK,0.88
184.jpg,SR8817P,SR8817P,TAK,0.88
185.jpg,SD4350J,SD4350,TAK,0.75
186.jpg,STA67KF,brak OCR,NIE,0.00
187.jpg,SZ2805M,SZ2805M,TAK,0.88
188.jpg,SGLTK91,brak OCR,NIE,0.00
189.jpg,SG0575J,brak OCR,NIE,0.00
190.jpg,SPI16111,SP01M111,NIE,1.00
191.jpg,KOL21767,KOL21767,TAK,1.00
192.jpg,SMY5HP6,SMYSHP6,TAK,0.88
193.jpg,SPS85295,SPS85295,TAK,1.00
194.jpg,ST47026,brak OCR,NIE,0.00
143(1).jpg,SO0665L,brak OCR,NIE,0.00
